ingredient,required_quantity
garlic,2291.8217960042207
tomatoes,2223.180846984833
red onions,1633.754914479734
red peppers,1361.1976747681567
mozzarella cheese,863.488089491157
pepperoni,860.8962875184396
spinach,836.817611126742
mushrooms,804.4618897253981
chicken,705.6389887011392
artichokes,667.3472047171201
capocollo,549.2948051856024
green olives,515.8521990860223
jalapeno peppers,471.7079590345766
green peppers,436.6768291452666
feta cheese,396.7965213715173
pineapple,391.44570439558447
bacon,353.40473995731224
corn,279.3293674467424
chipotle sauce,279.3293674467424
cilantro,279.3293674467424
asiago cheese,279.24576093149346
goat cheese,275.9851068367844
kalamata olives,273.14248531832004
fontina cheese,272.30642016583056
pesto sauce,241.87364861521274
zucchini,207.76219039364108
barbecued chicken,198.23104765526077
barbecue sauce,198.23104765526077
sliced ham,198.06383462476285
thai sweet chilli sauce,193.38186977082165
gouda cheese,192.37859158783425
peperoncini verdi,157.7654942747689
onions,157.7654942747689
coarse sicilian salami,157.7654942747689
luganega sausage,157.7654942747689
sun-dried tomatoes,157.18024866802625
ricotta cheese,154.5884466953088
parmigiano reggiano cheese,154.5884466953088
gorgonzola piccante cheese,154.5884466953088
calabrese salami,154.50484018005986
italian sausage,151.4113991158487
chorizo sausage,151.4113991158487
anchovies,121.14584059572874
prosciutto di san daniele,119.39010377550079
arugula,119.39010377550079
genoa salami,118.80485816875814
oregano,118.21961256201548
beef chuck roast,117.46715392477493
blue cheese,113.53764770807427
provolone cheese,113.53764770807427
smoked gouda cheese,113.53764770807427
romano cheese,113.53764770807427
alfredo sauce,81.93438494397114
eggplant,81.51635236772638
soppressata salami,79.92782857799634
friggitello peppers,77.50323963577677
pancetta,77.50323963577677
?duja salami,77.50323963577677
plum tomatoes,77.16881357478097
prosciutto,40.131127319496066
thyme,40.131127319496066
caramelized onions,40.131127319496066
pears,40.131127319496066
brie carre cheese,40.131127319496066
